Laptop Adı,Fiyat,İnç,RAM,İşlemci,Puan
Asus ROG Strix G18 G814JZR-N609228,127889.0,18.0,64.0,4,88.0
Asus ROG Strix G18 G814JZR-N609228,127889.0,18.0,64.0,4,88.0
Asus ROG Strix G18 G814JZR-N609228,127889.0,18.0,64.0,4,88.0
Asus ROG Strix G18 G814JZR-N609228,127889.0,18.0,64.0,4,88.0
Asus ROG Strix G18 G814JZR-N609228,127889.0,18.0,64.0,4,88.0
Asus ROG Strix G18 G814JZR-N609232,172697.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609232,172697.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609232,172697.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609232,172697.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609232,172697.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609248,196968.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609248,196968.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609248,196968.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609248,196968.0,18.0,96.0,4,90.0
Asus ROG Strix G18 G814JZR-N609248,196968.0,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609809,189033.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609809,189033.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609809,189033.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609809,189033.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609809,189033.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609810,193234.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609810,193234.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609810,193234.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609810,193234.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609810,193234.0,18.0,64.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609814,208999.05,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609814,208999.05,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609814,208999.05,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609814,208999.05,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609814,208999.05,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609815,196034.0,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609815,196034.0,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609815,196034.0,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609815,196034.0,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609815,196034.0,18.0,96.0,4,90.0
Asus ROG Strix Scar 18 G834JYR-N609819,160339.76,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609819,160339.76,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609819,160339.76,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609819,160339.76,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609819,160339.76,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609820,185766.0,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609820,185766.0,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609820,185766.0,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609820,185766.0,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609820,185766.0,18.0,32.0,4,88.0
Asus ROG Strix Scar 18 G834JYR-N609823,199999.0,18.0,64.0,4,90.1470588235294
Asus ROG Strix Scar 18 G834JYR-N609823,199999.0,18.0,64.0,4,90.1470588235294
Asus ROG Strix Scar 18 G834JYR-N609823,199999.0,18.0,64.0,4,90.1470588235294
Asus ROG Strix Scar 18 G834JYR-N609823,199999.0,18.0,64.0,4,90.1470588235294
Asus ROG Strix Scar 18 G834JYR-N609823,199999.0,18.0,64.0,4,90.1470588235294
Asus ROG Strix Scar 18 G834JYR-N609824,163082.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609824,163082.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609824,163082.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609824,163082.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609824,163082.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609825,190900.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609825,190900.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609825,190900.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609825,190900.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609825,190900.0,18.0,64.0,4,92.0
Asus ROG Strix Scar 18 G834JYR-N609827,156921.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609827,156921.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609827,156921.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609827,156921.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609827,156921.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609828,193234.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609828,193234.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609828,193234.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609828,193234.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609828,193234.0,18.0,96.0,4,89.0
Asus ROG Strix Scar 18 G834JYR-N609829,67678.0,18.0,96.0,4,93.0
Asus ROG Strix Scar 18 G834JYR-N609829,67678.0,18.0,96.0,4,93.0
